0.507766,0.517861,0
0.787610,0.581770,0
0.202141,0.264588,1
0.709380,0.740410,0
0.768000,0.710868,0
0.681220,0.965410,0
0.308480,0.243060,1
0.537410,0.286370,1
0.732290,0.642450,0
0.573090,0.970213,0
0.234480,0.249860,1
0.679050,0.609210,0
0.509220,0.352560,1
0.484900,0.260710,1
0.766940,0.647360,0
0.459100,0.404260,1
0.940255,0.918412,0
0.490641,0.542941,0
0.645740,0.568450,0
0.561789,0.534141,0
0.498543,0.337178,1
0.407390,0.402710,1
0.553300,1.000000,0
0.150990,0.573410,1
0.370950,0.388090,1
0.560636,0.590884,0
0.790570,0.561080,0
0.254760,0.345960,1
0.427642,0.426352,1
0.198879,0.462697,1
0.297670,0.696480,1
0.596118,0.827174,0
0.152540,0.216800,1
0.604360,0.866050,0
0.516044,0.801496,0
0.708760,0.967640,0
0.589850,0.869550,0
0.157748,0.405830,1
0.854760,0.631670,0
0.681270,0.869850,0
0.455580,0.437690,1
0.335570,0.429840,1
0.441791,0.320949,1
0.484470,0.569910,1
0.849003,0.479687,0
0.069496,0.275306,1
0.594210,0.618570,0
0.707580,0.760220,0
0.381500,0.462200,1
0.670780,0.465380,1
0.436848,0.563609,0
0.321490,0.120070,1
0.471412,0.957806,0
0.008449,0.136580,1
0.445470,0.451170,1
0.691760,0.608650,0
0.172409,0.654584,1
0.124190,0.335950,1
0.673770,0.779750,0
0.852750,0.859870,0
0.591540,0.629270,0
0.799820,0.748470,0
0.770290,0.701400,0
0.699070,0.373070,1
0.731560,0.717820,0
0.100730,0.320530,1
0.538380,0.327740,1
0.118199,0.101512,1
0.276330,0.212640,1
0.731450,0.745160,0
0.479414,0.417379,0
0.378450,0.690651,1
0.620910,0.804240,0
0.495630,0.214450,1
0.310600,0.507020,1
0.729890,0.810700,0
0.797850,0.769210,0
0.690480,0.830580,0
0.496380,0.453840,1
0.659730,0.666660,0
0.275270,0.332230,1
0.085214,0.640482,1
0.195030,0.368790,1
0.664080,0.920750,0
0.407140,0.178780,1
0.397070,0.444380,1
0.493640,0.562240,0
0.313089,0.674608,1
0.714420,0.766800,0
0.217260,0.286410,1
0.576256,0.467437,0
0.761450,0.601380,0
0.287740,0.291390,1
0.442740,0.592050,0
0.422180,0.201180,1
0.458290,0.464100,0
0.896390,0.708500,0
0.284880,0.521420,1
0.319815,0.218720,1
0.789740,0.742330,0
0.400053,0.081345,1
0.928716,0.604350,0
0.780510,-0.063669,1
0.659120,0.715480,0
0.998026,0.795518,0
0.029536,0.320969,1
0.397480,0.319020,1
0.777070,0.350250,0
0.422160,0.616660,1
0.402780,0.0351480,1
0.545270,0.639110,1
0.082207,0.219153,1
0.307689,0.016747,1
0.818313,0.497671,0
0.439990,0.312450,1
0.212960,0.551690,1
0.682430,0.483010,0
0.519120,0.623590,0
0.851760,0.661200,0
0.164270,0.277590,1
0.466666,0.517546,0
0.101940,0.0604080,1
0.589350,0.715820,0
0.609740,0.547570,0
0.292300,0.421700,1
0.416789,0.189353,1
0.016060,0.004038,1
0.256440,0.426240,1
0.999823,0.901700,0
0.527162,0.020620,1
0.277850,0.108020,1
0.436722,0.069372,1
0.981078,0.797145,0
